net_min,net_nit,incubation,farm,m_biomass,C_N_ratio,plant_ht,plant_mass,plant_uptake,resp,pH,SOM
-9.6378,0.2422,Field,Conventional,2.42365205,9.1007,2.5908,0.12856,0.030575691,0.0295,5.77,0.068326578
-0.2024,1.5616,Field,Conventional,4.328223689,9.6547,2.472266667,0.113799,0.03557882,0.0255683,5.79,0.087296809
4.7442,0.2282,Field,Conventional,3.706075449,10.2362,2.404533333,0.18768,0.060394334,0.032427,5.79,0.088729017
-4.132,0.256,Field,Conventional,3.80325556,9.9372,2.286,0.15058,0.044404043,0.024509,5.88,0.079254079
2.1914,0.7954,Field,Conventional,3.700346439,9.0315,2.116666667,0.14253,0.055354274,0.0288347,5.82,0.065841306
0.306,0.03,Field,Conventional,2.058041983,8.8917,2.218266667,0.2502,0.08297706,0.0282121,5.88,0.079127726
2.0032,2.4792,Field,Conventional,3.454729459,8.9358,2.302933333,0.13873,0.050291699,0.233697,5.91,0.08391987
8.1804,3.4544,Field,Organic,3.468914308,8.6345,2.3622,0.10882,0.033723802,0.02551313,5.81,0.060954572
7.3626,4.3706,Field,Organic,2.919698392,9.3485,2.6289,0.23788,0.084510941,0.033647981,5.78,0.062536873
4.6976,1.2356,Field,Organic,3.739712813,9.1181,2.506133333,0.28295,0.099778232,0.023306785,5.77,0.059537572
-2.1366,1.2194,Field,Organic,4.68750735,9.2933,2.6162,0.21548,0.060786943,0.028101019,5.6,0.072342794
3.3866,8.9126,Field,Organic,3.452846784,9.0521,2.54,0.26696,0.083427297,0.030786073,5.64,0.072136564
-5.2266,4.2534,Field,Organic,4.511605221,8.7756,2.5527,0.19373,0.071359631,0.0241807,5.66,0.069189829
-1.1578,1.5302,Field,Organic,1.83601447,8.2439,2.5019,0.16993,0.058925785,0.021371678,5.61,0.057930259
-1.5544,3.7256,Lab,Conventional,1.945521752,9.1007,2.5908,0.12856,0.030575691,0.016405,5.77,0.068326578
-3.9348,2.2432,Lab,Conventional,5.718186949,9.6547,2.472266667,0.113799,0.03557882,0.014382,5.79,0.087296809
-3.5064,4.9576,Lab,Conventional,4.526683548,10.2362,2.404533333,0.18768,0.060394334,0.018819,5.79,0.088729017
-3.1516,2.6024,Lab,Conventional,4.673369712,9.9372,2.286,0.15058,0.044404043,0.022475,5.88,0.079254079
-3.1842,3.0238,Lab,Conventional,2.215733107,9.0315,2.116666667,0.14253,0.055354274,0.0142226,5.82,0.065841306
-2.9182,2.8098,Lab,Conventional,2.498811669,8.8917,2.218266667,0.2502,0.08297706,0.011847,5.88,0.079127726
2.5072,2.6952,Lab,Conventional,5.44025527,8.9358,2.302933333,0.13873,0.050291699,0.01974832,5.91,0.08391987
-3.2928,1.8552,Lab,Organic,2.732528192,8.6345,2.3622,0.10882,0.033723802,0.02626,5.81,0.060954572
-4.7692,4.3408,Lab,Organic,4.781454254,9.3485,2.6289,0.23788,0.084510941,0.030205,5.78,0.062536873
-8.2096,3.8324,Lab,Organic,3.685168187,9.1181,2.506133333,0.28295,0.099778232,0.02725,5.77,0.059537572
-12.5512,1.5788,Lab,Organic,3.615685267,9.2933,2.6162,0.21548,0.060786943,0.023605,5.6,0.072342794
-6.1882,4.9598,Lab,Organic,5.213792421,9.0521,2.54,0.26696,0.083427297,0.024454,5.64,0.072136564
-7.5682,6.1698,Lab,Organic,5.962663889,8.7756,2.5527,0.19373,0.071359631,0.0275608,5.66,0.069189829
-6.0068,6.7652,Lab,Organic,4.179268949,8.2439,2.5019,0.16993,0.058925785,0.0175189,5.61,0.057930259